Date,US,Brazil,India,Russia,Mexico
1/22/20,0,0,0,0,0
1/23/20,0,0,0,0,0
1/24/20,0,0,0,0,0
1/25/20,0,0,0,0,0
1/26/20,0,0,0,0,0
1/27/20,0,0,0,0,0
1/28/20,0,0,0,0,0
1/29/20,0,0,0,0,0
1/30/20,0,0,0,0,0
1/31/20,0,0,0,0,0
2/1/20,0,0,0,0,0
2/2/20,0,0,0,0,0
2/3/20,0,0,0,0,0
2/4/20,0,0,0,0,0
2/5/20,0,0,0,0,0
2/6/20,0,0,0,0,0
2/7/20,0,0,0,0,0
2/8/20,0,0,0,0,0
2/9/20,0,0,0,0,0
2/10/20,0,0,0,0,0
2/11/20,0,0,0,0,0
2/12/20,0,0,0,0,0
2/13/20,0,0,0,0,0
2/14/20,0,0,0,0,0
2/15/20,0,0,0,0,0
2/16/20,0,0,0,0,0
2/17/20,0,0,0,0,0
2/18/20,0,0,0,0,0
2/19/20,0,0,0,0,0
2/20/20,0,0,0,0,0
2/21/20,0,0,0,0,0
2/22/20,0,0,0,0,0
2/23/20,0,0,0,0,0
2/24/20,0,0,0,0,0
2/25/20,0,0,0,0,0
2/26/20,0,0,0,0,0
2/27/20,0,0,0,0,0
2/28/20,0,0,0,0,0
2/29/20,1,0,0,0,0
3/1/20,1,0,0,0,0
3/2/20,6,0,0,0,0
3/3/20,7,0,0,0,0
3/4/20,11,0,0,0,0
3/5/20,12,0,0,0,0
3/6/20,14,0,0,0,0
3/7/20,17,0,0,0,0
3/8/20,21,0,0,0,0
3/9/20,22,0,0,0,0
3/10/20,28,0,0,0,0
3/11/20,33,0,1,0,0
3/12/20,43,0,1,0,0
3/13/20,51,0,2,0,0
3/14/20,58,0,2,0,0
3/15/20,70,0,2,0,0
3/16/20,97,0,2,0,0
3/17/20,134,1,3,0,0
3/18/20,194,3,3,0,0
3/19/20,266,6,4,1,1
3/20/20,372,11,5,1,2
3/21/20,475,15,4,1,2
3/22/20,603,25,7,1,3
3/23/20,790,34,10,1,4
3/24/20,1033,46,10,1,5
3/25/20,1366,59,12,3,6
3/26/20,1783,77,20,3,8
3/27/20,2305,92,20,4,12
3/28/20,3018,111,24,4,16
3/29/20,3573,136,27,8,20
3/30/20,4280,159,32,9,28
3/31/20,5359,201,35,17,29
4/1/20,6996,240,58,24,37
4/2/20,8556,324,72,30,50
4/3/20,9985,359,72,34,60
4/4/20,11605,445,86,43,79
4/5/20,13227,486,99,45,94
4/6/20,14989,564,136,47,125
4/7/20,17595,686,150,58,141
4/8/20,19747,819,178,63,174
